&#0;	�		%00
&#7665;	ᷱ	ᷱ	%u1DF1
&#7666;	ᷲ	ᷲ	%u1DF2
&#7667;	ᷳ	ᷳ	%u1DF3
&#7668;	ᷴ	ᷴ	%u1DF4
&#7669;	᷵	᷵	%u1DF5
&#7670;	᷶	᷶	%u1DF6
&#7671;	᷷	᷷	%u1DF7
&#7672;	᷸	᷸	%u1DF8
&#7673;	᷹	᷹	%u1DF9
&#7674;	᷺	᷺	%u1DFA
&#7675;	᷻	᷻	%u1DFB
&#7676;	᷼	᷼	%u1DFC
&#7677;	᷽	᷽	%u1DFD
&#7678;	᷾	᷾	%u1DFE
&#7679;	᷿	᷿	%u1DFF
&#7680;	Ḁ	Ḁ	%u1E00
&#7681;	ḁ	ḁ	%u1E01
&#7682;	Ḃ	Ḃ	%u1E02
&#7683;	ḃ	ḃ	%u1E03
&#7684;	Ḅ	Ḅ	%u1E04
&#7685;	ḅ	ḅ	%u1E05
&#7686;	Ḇ	Ḇ	%u1E06
&#7687;	ḇ	ḇ	%u1E07
&#7688;	Ḉ	Ḉ	%u1E08
&#7689;	ḉ	ḉ	%u1E09
&#7690;	Ḋ	Ḋ	%u1E0A
&#7691;	ḋ	ḋ	%u1E0B
&#7692;	Ḍ	Ḍ	%u1E0C
&#7693;	ḍ	ḍ	%u1E0D
&#7694;	Ḏ	Ḏ	%u1E0E
&#7695;	ḏ	ḏ	%u1E0F
&#7696;	Ḑ	Ḑ	%u1E10
&#7697;	ḑ	ḑ	%u1E11
&#7698;	Ḓ	Ḓ	%u1E12
&#7699;	ḓ	ḓ	%u1E13
&#7700;	Ḕ	Ḕ	%u1E14
&#7701;	ḕ	ḕ	%u1E15
&#7702;	Ḗ	Ḗ	%u1E16
&#7703;	ḗ	ḗ	%u1E17
&#7704;	Ḙ	Ḙ	%u1E18
&#7705;	ḙ	ḙ	%u1E19
&#7706;	Ḛ	Ḛ	%u1E1A
&#7707;	ḛ	ḛ	%u1E1B
&#7708;	Ḝ	Ḝ	%u1E1C
&#7709;	ḝ	ḝ	%u1E1D
&#7710;	Ḟ	Ḟ	%u1E1E
&#7711;	ḟ	ḟ	%u1E1F
&#7712;	Ḡ	Ḡ	%u1E20
&#7713;	ḡ	ḡ	%u1E21
&#7714;	Ḣ	Ḣ	%u1E22
&#7715;	ḣ	ḣ	%u1E23
&#7716;	Ḥ	Ḥ	%u1E24
&#7717;	ḥ	ḥ	%u1E25
&#7718;	Ḧ	Ḧ	%u1E26
&#7719;	ḧ	ḧ	%u1E27
&#7720;	Ḩ	Ḩ	%u1E28
&#7721;	ḩ	ḩ	%u1E29
&#7722;	Ḫ	Ḫ	%u1E2A
&#7723;	ḫ	ḫ	%u1E2B
&#7724;	Ḭ	Ḭ	%u1E2C
&#7725;	ḭ	ḭ	%u1E2D
&#7726;	Ḯ	Ḯ	%u1E2E
&#7727;	ḯ	ḯ	%u1E2F
&#7728;	Ḱ	Ḱ	%u1E30
&#7729;	ḱ	ḱ	%u1E31
&#7730;	Ḳ	Ḳ	%u1E32
&#7731;	ḳ	ḳ	%u1E33
&#7732;	Ḵ	Ḵ	%u1E34
&#7733;	ḵ	ḵ	%u1E35
&#7734;	Ḷ	Ḷ	%u1E36
&#7735;	ḷ	ḷ	%u1E37
&#7736;	Ḹ	Ḹ	%u1E38
&#7737;	ḹ	ḹ	%u1E39
&#7738;	Ḻ	Ḻ	%u1E3A
&#7739;	ḻ	ḻ	%u1E3B
&#7740;	Ḽ	Ḽ	%u1E3C
&#7741;	ḽ	ḽ	%u1E3D
&#7742;	Ḿ	Ḿ	%u1E3E
&#7743;	ḿ	ḿ	%u1E3F
&#7744;	Ṁ	Ṁ	%u1E40
&#7745;	ṁ	ṁ	%u1E41
&#7746;	Ṃ	Ṃ	%u1E42
&#7747;	ṃ	ṃ	%u1E43
&#7748;	Ṅ	Ṅ	%u1E44
&#7749;	ṅ	ṅ	%u1E45
&#7750;	Ṇ	Ṇ	%u1E46
&#7751;	ṇ	ṇ	%u1E47
&#7752;	Ṉ	Ṉ	%u1E48
&#7753;	ṉ	ṉ	%u1E49
&#7754;	Ṋ	Ṋ	%u1E4A
&#7755;	ṋ	ṋ	%u1E4B
&#7756;	Ṍ	Ṍ	%u1E4C
&#7757;	ṍ	ṍ	%u1E4D
&#7758;	Ṏ	Ṏ	%u1E4E
&#7759;	ṏ	ṏ	%u1E4F
&#7760;	Ṑ	Ṑ	%u1E50
&#7761;	ṑ	ṑ	%u1E51
&#7762;	Ṓ	Ṓ	%u1E52
&#7763;	ṓ	ṓ	%u1E53
&#7764;	Ṕ	Ṕ	%u1E54
&#7765;	ṕ	ṕ	%u1E55
&#7766;	Ṗ	Ṗ	%u1E56
&#7767;	ṗ	ṗ	%u1E57
&#7768;	Ṙ	Ṙ	%u1E58
&#7769;	ṙ	ṙ	%u1E59
&#7770;	Ṛ	Ṛ	%u1E5A
&#7771;	ṛ	ṛ	%u1E5B
&#7772;	Ṝ	Ṝ	%u1E5C
&#7773;	ṝ	ṝ	%u1E5D
&#7774;	Ṟ	Ṟ	%u1E5E
&#7775;	ṟ	ṟ	%u1E5F
&#7776;	Ṡ	Ṡ	%u1E60
&#7777;	ṡ	ṡ	%u1E61
&#7778;	Ṣ	Ṣ	%u1E62
&#7779;	ṣ	ṣ	%u1E63
&#7780;	Ṥ	Ṥ	%u1E64
&#7781;	ṥ	ṥ	%u1E65
&#7782;	Ṧ	Ṧ	%u1E66
&#7783;	ṧ	ṧ	%u1E67
&#7784;	Ṩ	Ṩ	%u1E68
&#7785;	ṩ	ṩ	%u1E69
&#7786;	Ṫ	Ṫ	%u1E6A
&#7787;	ṫ	ṫ	%u1E6B
&#7788;	Ṭ	Ṭ	%u1E6C
&#7789;	ṭ	ṭ	%u1E6D
&#7790;	Ṯ	Ṯ	%u1E6E
&#7791;	ṯ	ṯ	%u1E6F
&#7792;	Ṱ	Ṱ	%u1E70
&#7793;	ṱ	ṱ	%u1E71
&#7794;	Ṳ	Ṳ	%u1E72
&#7795;	ṳ	ṳ	%u1E73
&#7796;	Ṵ	Ṵ	%u1E74
&#7797;	ṵ	ṵ	%u1E75
&#7798;	Ṷ	Ṷ	%u1E76
&#7799;	ṷ	ṷ	%u1E77
&#7800;	Ṹ	Ṹ	%u1E78
&#7801;	ṹ	ṹ	%u1E79
&#7802;	Ṻ	Ṻ	%u1E7A
&#7803;	ṻ	ṻ	%u1E7B
&#7804;	Ṽ	Ṽ	%u1E7C
&#7805;	ṽ	ṽ	%u1E7D
&#7806;	Ṿ	Ṿ	%u1E7E
&#7807;	ṿ	ṿ	%u1E7F
&#7808;	Ẁ	Ẁ	%u1E80
&#7809;	ẁ	ẁ	%u1E81
&#7810;	Ẃ	Ẃ	%u1E82
&#7811;	ẃ	ẃ	%u1E83
&#7812;	Ẅ	Ẅ	%u1E84
&#7813;	ẅ	ẅ	%u1E85
&#7814;	Ẇ	Ẇ	%u1E86
&#7815;	ẇ	ẇ	%u1E87
&#7816;	Ẉ	Ẉ	%u1E88
&#7817;	ẉ	ẉ	%u1E89
&#7818;	Ẋ	Ẋ	%u1E8A
&#7819;	ẋ	ẋ	%u1E8B
&#7820;	Ẍ	Ẍ	%u1E8C
&#7821;	ẍ	ẍ	%u1E8D
&#7822;	Ẏ	Ẏ	%u1E8E
&#7823;	ẏ	ẏ	%u1E8F
&#7824;	Ẑ	Ẑ	%u1E90
&#7825;	ẑ	ẑ	%u1E91
&#7826;	Ẓ	Ẓ	%u1E92
&#7827;	ẓ	ẓ	%u1E93
&#7828;	Ẕ	Ẕ	%u1E94
&#7829;	ẕ	ẕ	%u1E95
&#7830;	ẖ	ẖ	%u1E96
&#7831;	ẗ	ẗ	%u1E97
&#7832;	ẘ	ẘ	%u1E98
&#7833;	ẙ	ẙ	%u1E99
&#7834;	ẚ	ẚ	%u1E9A
&#7835;	ẛ	ẛ	%u1E9B
&#7836;	ẜ	ẜ	%u1E9C
&#7837;	ẝ	ẝ	%u1E9D
&#7838;	ẞ	ẞ	%u1E9E
&#7839;	ẟ	ẟ	%u1E9F
&#7840;	Ạ	Ạ	%u1EA0
&#7841;	ạ	ạ	%u1EA1
&#7842;	Ả	Ả	%u1EA2
&#7843;	ả	ả	%u1EA3
&#7844;	Ấ	Ấ	%u1EA4
&#7845;	ấ	ấ	%u1EA5
&#7846;	Ầ	Ầ	%u1EA6
&#7847;	ầ	ầ	%u1EA7
&#7848;	Ẩ	Ẩ	%u1EA8
&#7849;	ẩ	ẩ	%u1EA9
&#7850;	Ẫ	Ẫ	%u1EAA
&#7851;	ẫ	ẫ	%u1EAB
&#7852;	Ậ	Ậ	%u1EAC
&#7853;	ậ	ậ	%u1EAD
&#7854;	Ắ	Ắ	%u1EAE
&#7855;	ắ	ắ	%u1EAF
&#7856;	Ằ	Ằ	%u1EB0
&#7857;	ằ	ằ	%u1EB1
&#7858;	Ẳ	Ẳ	%u1EB2
&#7859;	ẳ	ẳ	%u1EB3
&#7860;	Ẵ	Ẵ	%u1EB4
&#7861;	ẵ	ẵ	%u1EB5
&#7862;	Ặ	Ặ	%u1EB6
&#7863;	ặ	ặ	%u1EB7
&#7864;	Ẹ	Ẹ	%u1EB8
&#7865;	ẹ	ẹ	%u1EB9
&#7866;	Ẻ	Ẻ	%u1EBA
&#7867;	ẻ	ẻ	%u1EBB
&#7868;	Ẽ	Ẽ	%u1EBC
&#7869;	ẽ	ẽ	%u1EBD
&#7870;	Ế	Ế	%u1EBE
&#7871;	ế	ế	%u1EBF
&#7872;	Ề	Ề	%u1EC0
&#7873;	ề	ề	%u1EC1
&#7874;	Ể	Ể	%u1EC2
&#7875;	ể	ể	%u1EC3
&#7876;	Ễ	Ễ	%u1EC4
&#7877;	ễ	ễ	%u1EC5
&#7878;	Ệ	Ệ	%u1EC6
&#7879;	ệ	ệ	%u1EC7
&#7880;	Ỉ	Ỉ	%u1EC8
&#7881;	ỉ	ỉ	%u1EC9
&#7882;	Ị	Ị	%u1ECA
&#7883;	ị	ị	%u1ECB
&#7884;	Ọ	Ọ	%u1ECC
&#7885;	ọ	ọ	%u1ECD
&#7886;	Ỏ	Ỏ	%u1ECE
&#7887;	ỏ	ỏ	%u1ECF
&#7888;	Ố	Ố	%u1ED0
&#7889;	ố	ố	%u1ED1
&#7890;	Ồ	Ồ	%u1ED2
&#7891;	ồ	ồ	%u1ED3
&#7892;	Ổ	Ổ	%u1ED4
&#7893;	ổ	ổ	%u1ED5
&#7894;	Ỗ	Ỗ	%u1ED6
&#7895;	ỗ	ỗ	%u1ED7
&#7896;	Ộ	Ộ	%u1ED8
&#7897;	ộ	ộ	%u1ED9
&#7898;	Ớ	Ớ	%u1EDA
&#7899;	ớ	ớ	%u1EDB
&#7900;	Ờ	Ờ	%u1EDC
&#7901;	ờ	ờ	%u1EDD
&#7902;	Ở	Ở	%u1EDE
&#7903;	ở	ở	%u1EDF
&#7904;	Ỡ	Ỡ	%u1EE0
&#7905;	ỡ	ỡ	%u1EE1
&#7906;	Ợ	Ợ	%u1EE2
&#7907;	ợ	ợ	%u1EE3
&#7908;	Ụ	Ụ	%u1EE4
&#7909;	ụ	ụ	%u1EE5
&#7910;	Ủ	Ủ	%u1EE6
&#7911;	ủ	ủ	%u1EE7
&#7912;	Ứ	Ứ	%u1EE8
&#7913;	ứ	ứ	%u1EE9
&#7914;	Ừ	Ừ	%u1EEA
&#7915;	ừ	ừ	%u1EEB
&#7916;	Ử	Ử	%u1EEC
&#7917;	ử	ử	%u1EED
&#7918;	Ữ	Ữ	%u1EEE
&#7919;	ữ	ữ	%u1EEF
&#7920;	Ự	Ự	%u1EF0
&#7921;	ự	ự	%u1EF1
&#7922;	Ỳ	Ỳ	%u1EF2
&#7923;	ỳ	ỳ	%u1EF3
&#7924;	Ỵ	Ỵ	%u1EF4
&#7925;	ỵ	ỵ	%u1EF5
&#7926;	Ỷ	Ỷ	%u1EF6
&#7927;	ỷ	ỷ	%u1EF7
&#7928;	Ỹ	Ỹ	%u1EF8
&#7929;	ỹ	ỹ	%u1EF9
&#7930;	Ỻ	Ỻ	%u1EFA
&#7931;	ỻ	ỻ	%u1EFB
&#7932;	Ỽ	Ỽ	%u1EFC
&#7933;	ỽ	ỽ	%u1EFD
&#7934;	Ỿ	Ỿ	%u1EFE
&#7935;	ỿ	ỿ	%u1EFF
&#7936;	ἀ	ἀ	%u1F00
&#7937;	ἁ	ἁ	%u1F01
&#7938;	ἂ	ἂ	%u1F02
&#7939;	ἃ	ἃ	%u1F03
&#7940;	ἄ	ἄ	%u1F04
&#7941;	ἅ	ἅ	%u1F05
&#7942;	ἆ	ἆ	%u1F06
&#7943;	ἇ	ἇ	%u1F07
&#7944;	Ἀ	Ἀ	%u1F08
&#7945;	Ἁ	Ἁ	%u1F09
&#7946;	Ἂ	Ἂ	%u1F0A
&#7947;	Ἃ	Ἃ	%u1F0B
&#7948;	Ἄ	Ἄ	%u1F0C
&#7949;	Ἅ	Ἅ	%u1F0D
&#7950;	Ἆ	Ἆ	%u1F0E
&#7951;	Ἇ	Ἇ	%u1F0F
&#7952;	ἐ	ἐ	%u1F10
&#7953;	ἑ	ἑ	%u1F11
&#7954;	ἒ	ἒ	%u1F12
&#7955;	ἓ	ἓ	%u1F13
&#7956;	ἔ	ἔ	%u1F14
&#7957;	ἕ	ἕ	%u1F15
&#7958;	἖	἖	%u1F16
&#7959;	἗	἗	%u1F17
&#7960;	Ἐ	Ἐ	%u1F18
&#7961;	Ἑ	Ἑ	%u1F19
&#7962;	Ἒ	Ἒ	%u1F1A
&#7963;	Ἓ	Ἓ	%u1F1B
&#7964;	Ἔ	Ἔ	%u1F1C
&#7965;	Ἕ	Ἕ	%u1F1D
&#7966;	἞	἞	%u1F1E
&#7967;	἟	἟	%u1F1F
&#7968;	ἠ	ἠ	%u1F20
&#7969;	ἡ	ἡ	%u1F21
&#7970;	ἢ	ἢ	%u1F22
&#7971;	ἣ	ἣ	%u1F23
&#7972;	ἤ	ἤ	%u1F24
&#7973;	ἥ	ἥ	%u1F25
&#7974;	ἦ	ἦ	%u1F26
&#7975;	ἧ	ἧ	%u1F27
&#7976;	Ἠ	Ἠ	%u1F28
&#7977;	Ἡ	Ἡ	%u1F29
&#7978;	Ἢ	Ἢ	%u1F2A
&#7979;	Ἣ	Ἣ	%u1F2B
&#7980;	Ἤ	Ἤ	%u1F2C
&#7981;	Ἥ	Ἥ	%u1F2D
&#7982;	Ἦ	Ἦ	%u1F2E
&#7983;	Ἧ	Ἧ	%u1F2F
&#7984;	ἰ	ἰ	%u1F30
&#7985;	ἱ	ἱ	%u1F31
&#7986;	ἲ	ἲ	%u1F32
&#7987;	ἳ	ἳ	%u1F33
&#7988;	ἴ	ἴ	%u1F34
&#7989;	ἵ	ἵ	%u1F35
&#7990;	ἶ	ἶ	%u1F36
&#7991;	ἷ	ἷ	%u1F37
&#7992;	Ἰ	Ἰ	%u1F38
&#7993;	Ἱ	Ἱ	%u1F39
&#7994;	Ἲ	Ἲ	%u1F3A
&#7995;	Ἳ	Ἳ	%u1F3B
&#7996;	Ἴ	Ἴ	%u1F3C
&#7997;	Ἵ	Ἵ	%u1F3D
&#7998;	Ἶ	Ἶ	%u1F3E
&#7999;	Ἷ	Ἷ	%u1F3F
&#8000;	ὀ	ὀ	%u1F40
&#8001;	ὁ	ὁ	%u1F41
&#8002;	ὂ	ὂ	%u1F42
&#8003;	ὃ	ὃ	%u1F43
&#8004;	ὄ	ὄ	%u1F44
&#8005;	ὅ	ὅ	%u1F45
&#8006;	὆	὆	%u1F46
&#8007;	὇	὇	%u1F47
&#8008;	Ὀ	Ὀ	%u1F48
&#8009;	Ὁ	Ὁ	%u1F49
&#8010;	Ὂ	Ὂ	%u1F4A
&#8011;	Ὃ	Ὃ	%u1F4B
&#8012;	Ὄ	Ὄ	%u1F4C
&#8013;	Ὅ	Ὅ	%u1F4D
&#8014;	὎	὎	%u1F4E
&#8015;	὏	὏	%u1F4F
&#8016;	ὐ	ὐ	%u1F50
&#8017;	ὑ	ὑ	%u1F51
&#8018;	ὒ	ὒ	%u1F52
&#8019;	ὓ	ὓ	%u1F53
&#8020;	ὔ	ὔ	%u1F54
&#8021;	ὕ	ὕ	%u1F55
&#8022;	ὖ	ὖ	%u1F56
&#8023;	ὗ	ὗ	%u1F57
&#8024;	὘	὘	%u1F58
&#8025;	Ὑ	Ὑ	%u1F59
&#8026;	὚	὚	%u1F5A
&#8027;	Ὓ	Ὓ	%u1F5B
&#8028;	὜	὜	%u1F5C
&#8029;	Ὕ	Ὕ	%u1F5D
&#8030;	὞	὞	%u1F5E
&#8031;	Ὗ	Ὗ	%u1F5F
&#8032;	ὠ	ὠ	%u1F60
&#8033;	ὡ	ὡ	%u1F61
&#8034;	ὢ	ὢ	%u1F62
&#8035;	ὣ	ὣ	%u1F63
&#8036;	ὤ	ὤ	%u1F64
&#8037;	ὥ	ὥ	%u1F65
&#8038;	ὦ	ὦ	%u1F66
&#8039;	ὧ	ὧ	%u1F67
&#8040;	Ὠ	Ὠ	%u1F68
&#8041;	Ὡ	Ὡ	%u1F69
&#8042;	Ὢ	Ὢ	%u1F6A
&#8043;	Ὣ	Ὣ	%u1F6B
&#8044;	Ὤ	Ὤ	%u1F6C
&#8045;	Ὥ	Ὥ	%u1F6D
&#8046;	Ὦ	Ὦ	%u1F6E
&#8047;	Ὧ	Ὧ	%u1F6F
&#8048;	ὰ	ὰ	%u1F70
&#8049;	ά	ά	%u1F71
&#8050;	ὲ	ὲ	%u1F72
&#8051;	έ	έ	%u1F73
&#8052;	ὴ	ὴ	%u1F74
&#8053;	ή	ή	%u1F75
&#8054;	ὶ	ὶ	%u1F76
&#8055;	ί	ί	%u1F77
&#8056;	ὸ	ὸ	%u1F78
&#8057;	ό	ό	%u1F79
&#8058;	ὺ	ὺ	%u1F7A
&#8059;	ύ	ύ	%u1F7B
&#8060;	ὼ	ὼ	%u1F7C
&#8061;	ώ	ώ	%u1F7D
&#8062;	὾	὾	%u1F7E
&#8063;	὿	὿	%u1F7F
&#8064;	ᾀ	ᾀ	%u1F80
&#8065;	ᾁ	ᾁ	%u1F81
&#8066;	ᾂ	ᾂ	%u1F82
&#8067;	ᾃ	ᾃ	%u1F83
&#8068;	ᾄ	ᾄ	%u1F84
&#8069;	ᾅ	ᾅ	%u1F85
&#8070;	ᾆ	ᾆ	%u1F86
&#8071;	ᾇ	ᾇ	%u1F87
&#8072;	ᾈ	ᾈ	%u1F88
&#8073;	ᾉ	ᾉ	%u1F89
&#8074;	ᾊ	ᾊ	%u1F8A
&#8075;	ᾋ	ᾋ	%u1F8B
&#8076;	ᾌ	ᾌ	%u1F8C
&#8077;	ᾍ	ᾍ	%u1F8D
&#8078;	ᾎ	ᾎ	%u1F8E
&#8079;	ᾏ	ᾏ	%u1F8F
&#8080;	ᾐ	ᾐ	%u1F90
&#8081;	ᾑ	ᾑ	%u1F91
&#8082;	ᾒ	ᾒ	%u1F92
&#8083;	ᾓ	ᾓ	%u1F93
&#8084;	ᾔ	ᾔ	%u1F94
&#8085;	ᾕ	ᾕ	%u1F95
&#8086;	ᾖ	ᾖ	%u1F96
&#8087;	ᾗ	ᾗ	%u1F97
&#8088;	ᾘ	ᾘ	%u1F98
&#8089;	ᾙ	ᾙ	%u1F99
&#8090;	ᾚ	ᾚ	%u1F9A
&#8091;	ᾛ	ᾛ	%u1F9B
&#8092;	ᾜ	ᾜ	%u1F9C
&#8093;	ᾝ	ᾝ	%u1F9D
&#8094;	ᾞ	ᾞ	%u1F9E
&#8095;	ᾟ	ᾟ	%u1F9F
&#8096;	ᾠ	ᾠ	%u1FA0
&#8097;	ᾡ	ᾡ	%u1FA1
&#8098;	ᾢ	ᾢ	%u1FA2
&#8099;	ᾣ	ᾣ	%u1FA3
&#8100;	ᾤ	ᾤ	%u1FA4
&#8101;	ᾥ	ᾥ	%u1FA5
&#8102;	ᾦ	ᾦ	%u1FA6
&#8103;	ᾧ	ᾧ	%u1FA7
&#8104;	ᾨ	ᾨ	%u1FA8
&#8105;	ᾩ	ᾩ	%u1FA9
&#8106;	ᾪ	ᾪ	%u1FAA
&#8107;	ᾫ	ᾫ	%u1FAB
&#8108;	ᾬ	ᾬ	%u1FAC
&#8109;	ᾭ	ᾭ	%u1FAD
&#8110;	ᾮ	ᾮ	%u1FAE
&#8111;	ᾯ	ᾯ	%u1FAF
&#8112;	ᾰ	ᾰ	%u1FB0
&#8113;	ᾱ	ᾱ	%u1FB1
&#8114;	ᾲ	ᾲ	%u1FB2
&#8115;	ᾳ	ᾳ	%u1FB3
&#8116;	ᾴ	ᾴ	%u1FB4
&#8117;	᾵	᾵	%u1FB5
&#8118;	ᾶ	ᾶ	%u1FB6
&#8119;	ᾷ	ᾷ	%u1FB7
&#8120;	Ᾰ	Ᾰ	%u1FB8
&#8121;	Ᾱ	Ᾱ	%u1FB9
&#8122;	Ὰ	Ὰ	%u1FBA
&#8123;	Ά	Ά	%u1FBB
&#8124;	ᾼ	ᾼ	%u1FBC
&#8125;	᾽	᾽	%u1FBD
&#8126;	ι	ι	%u1FBE
&#8127;	᾿	᾿	%u1FBF
&#8128;	῀	῀	%u1FC0
&#8129;	῁	῁	%u1FC1
&#8130;	ῂ	ῂ	%u1FC2
&#8131;	ῃ	ῃ	%u1FC3
&#8132;	ῄ	ῄ	%u1FC4
&#8133;	῅	῅	%u1FC5
&#8134;	ῆ	ῆ	%u1FC6
&#8135;	ῇ	ῇ	%u1FC7
&#8136;	Ὲ	Ὲ	%u1FC8
&#8137;	Έ	Έ	%u1FC9
&#8138;	Ὴ	Ὴ	%u1FCA
&#8139;	Ή	Ή	%u1FCB
&#8140;	ῌ	ῌ	%u1FCC
&#8141;	῍	῍	%u1FCD
&#8142;	῎	῎	%u1FCE
&#8143;	῏	῏	%u1FCF
&#8144;	ῐ	ῐ	%u1FD0
&#8145;	ῑ	ῑ	%u1FD1
&#8146;	ῒ	ῒ	%u1FD2
&#8147;	ΐ	ΐ	%u1FD3
&#8148;	῔	῔	%u1FD4
&#8149;	῕	῕	%u1FD5
&#8150;	ῖ	ῖ	%u1FD6
&#8151;	ῗ	ῗ	%u1FD7
&#8152;	Ῐ	Ῐ	%u1FD8
&#8153;	Ῑ	Ῑ	%u1FD9
&#8154;	Ὶ	Ὶ	%u1FDA
&#8155;	Ί	Ί	%u1FDB
&#8156;	῜	῜	%u1FDC
&#8157;	῝	῝	%u1FDD
&#8158;	῞	῞	%u1FDE
&#8159;	῟	῟	%u1FDF
&#8160;	ῠ	ῠ	%u1FE0
&#8161;	ῡ	ῡ	%u1FE1
&#8162;	ῢ	ῢ	%u1FE2
&#8163;	ΰ	ΰ	%u1FE3
&#8164;	ῤ	ῤ	%u1FE4
&#8165;	ῥ	ῥ	%u1FE5
&#8166;	ῦ	ῦ	%u1FE6
&#8167;	ῧ	ῧ	%u1FE7
&#8168;	Ῠ	Ῠ	%u1FE8
&#8169;	Ῡ	Ῡ	%u1FE9
&#8170;	Ὺ	Ὺ	%u1FEA
&#8171;	Ύ	Ύ	%u1FEB
&#8172;	Ῥ	Ῥ	%u1FEC
&#8173;	῭	῭	%u1FED
&#8174;	΅	΅	%u1FEE
&#8175;	`	`	%u1FEF
&#8176;	῰	῰	%u1FF0
&#8177;	῱	῱	%u1FF1
&#8178;	ῲ	ῲ	%u1FF2
&#8179;	ῳ	ῳ	%u1FF3
&#8180;	ῴ	ῴ	%u1FF4
&#8181;	῵	῵	%u1FF5
&#8182;	ῶ	ῶ	%u1FF6
&#8183;	ῷ	ῷ	%u1FF7
&#8184;	Ὸ	Ὸ	%u1FF8
&#8185;	Ό	Ό	%u1FF9
&#8186;	Ὼ	Ὼ	%u1FFA
&#8187;	Ώ	Ώ	%u1FFB
&#8188;	ῼ	ῼ	%u1FFC
&#8189;	´	´	%u1FFD
&#8190;	῾	῾	%u1FFE
&#8191;	῿	῿	%u1FFF
&#8192;	 	 	%u2000
&#8193;	 	 	%u2001
&#8194;	 	 	%u2002
&#8195;	 	 	%u2003
&#8196;	 	 	%u2004
&#8197;	 	 	%u2005
&#8198;	 	 	%u2006
&#8199;	 	 	%u2007
&#8200;	 	 	%u2008
&#8201;	 	 	%u2009
&#8202;	 	 	%u200A
&#8203;	​	​	%u200B
&#8204;	‌	‌	%u200C
&#8205;	‍	‍	%u200D
&#8206;	‎	‎	%u200E
&#8207;	‏	‏	%u200F
&#8208;	‐	‐	%u2010
&#8209;	‑	‑	%u2011
&#8210;	‒	‒	%u2012
&#8211;	–	–	%u2013
&#8212;	—	—	%u2014
&#8213;	―	―	%u2015
&#8214;	‖	‖	%u2016
&#8215;	‗	‗	%u2017
&#8216;	‘	‘	%u2018
&#8217;	’	’	%u2019
&#8218;	‚	‚	%u201A
&#8219;	‛	‛	%u201B
&#8220;	“	“	%u201C
&#8221;	”	”	%u201D
&#8222;	„	„	%u201E
&#8223;	‟	‟	%u201F
&#8224;	†	†	%u2020
&#8225;	‡	‡	%u2021
&#8226;	•	•	%u2022
&#8227;	‣	‣	%u2023
&#8228;	․	․	%u2024
&#8229;	‥	‥	%u2025
&#8230;	…	…	%u2026
&#8231;	‧	‧	%u2027
&#8232;	 	 	%u2028
&#8233;	 	 	%u2029
&#8234;	‪	‪	%u202A
&#8235;	‫	‫	%u202B
&#8236;	‬	‬	%u202C
&#8237;	‭	‭	%u202D
&#8238;	‮	‮	%u202E
&#8239;	 	 	%u202F
&#8240;	‰	‰	%u2030
&#8241;	‱	‱	%u2031
&#8242;	′	′	%u2032
&#8243;	″	″	%u2033
&#8244;	‴	‴	%u2034
&#8245;	‵	‵	%u2035
&#8246;	‶	‶	%u2036
&#8247;	‷	‷	%u2037
&#8248;	‸	‸	%u2038
&#8249;	‹	‹	%u2039
&#8250;	›	›	%u203A
&#8251;	※	※	%u203B
&#8252;	‼	‼	%u203C
&#8253;	‽	‽	%u203D
&#8254;	‾	‾	%u203E
&#8255;	‿	‿	%u203F
&#8256;	⁀	⁀	%u2040
&#8257;	⁁	⁁	%u2041
&#8258;	⁂	⁂	%u2042
&#8259;	⁃	⁃	%u2043
&#8260;	⁄	⁄	%u2044
&#8261;	⁅	⁅	%u2045
&#8262;	⁆	⁆	%u2046
&#8263;	⁇	⁇	%u2047
&#8264;	⁈	⁈	%u2048
&#8265;	⁉	⁉	%u2049
&#8266;	⁊	⁊	%u204A
&#8267;	⁋	⁋	%u204B
&#8268;	⁌	⁌	%u204C
&#8269;	⁍	⁍	%u204D
&#8270;	⁎	⁎	%u204E
&#8271;	⁏	⁏	%u204F
&#8272;	⁐	⁐	%u2050
&#8273;	⁑	⁑	%u2051
&#8274;	⁒	⁒	%u2052
&#8275;	⁓	⁓	%u2053
&#8276;	⁔	⁔	%u2054
&#8277;	⁕	⁕	%u2055
&#8278;	⁖	⁖	%u2056
&#8279;	⁗	⁗	%u2057
&#8280;	⁘	⁘	%u2058
&#8281;	⁙	⁙	%u2059
&#8282;	⁚	⁚	%u205A
&#8283;	⁛	⁛	%u205B
&#8284;	⁜	⁜	%u205C
&#8285;	⁝	⁝	%u205D
&#8286;	⁞	⁞	%u205E
&#8287;	 	 	%u205F
&#8288;	⁠	⁠	%u2060
&#8289;	⁡	⁡	%u2061
&#8290;	⁢	⁢	%u2062
&#8291;	⁣	⁣	%u2063
&#8292;	⁤	⁤	%u2064
&#8293;	⁥	⁥	%u2065
&#8294;	⁦	⁦	%u2066
&#8295;	⁧	⁧	%u2067
&#8296;	⁨	⁨	%u2068
&#8297;	⁩	⁩	%u2069
&#8298;	⁪	⁪	%u206A
&#8299;	⁫	⁫	%u206B
&#8300;	⁬	⁬	%u206C
&#8301;	⁭	⁭	%u206D
&#8302;	⁮	⁮	%u206E
&#8303;	⁯	⁯	%u206F
